OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"STARLINK-30057 [P]","STARLINK-30047 [P]",0.001905,P],P]
"STARLINK-30057 [P]","STARLINK-30047 [P]",0.001905,P],P]
"STARLINK-30065 [P]","STARLINK-30057 [P]",0.0002362,P],P]
"STARLINK-30047 [P]","STARLINK-30063 [P]",0.0001809,P],P]
"STARLINK-30055 [P]","STARLINK-30064 [P]",0.0001751,P],P]
"STARLINK-30047 [P]","STARLINK-30063 [P]",0.00013,P],P]
"STARLINK-30060 [P]","STARLINK-30047 [P]",0.0001282,P],P]
"STARLINK-30057 [P]","STARLINK-30063 [P]",0.00008081,P],P]
"STARLINK-30057 [P]","STARLINK-30060 [P]",0.00007282,P],P]
"STARLINK-30057 [P]","STARLINK-30060 [P]",0.00007282,P],P]
"STARLINK-30065 [P]","STARLINK-30047 [P]",0.00004754,P],P]
"STARLINK-1498 [P]","STARLINK-1721 [P]",0.00001352,P],P]
"STARLINK-1102 [P]","STARLINK-1498 [P]",0.00001072,P],P]
"UOSAT 2 (UO-11) [P]","NEE-01 PEGASO [P]",0.0000007779,P],P]
